"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"
pgc|l|b|sgL|sgB|absB|Diam|BAratio|PA|T|V_GSR|Dist|sgX|sgY|sgZ|objname|GrpID|Filament|al1950|de1950
%7s|%9.4f|%9.4f|%9.4f|%9.4f|%7.2f|%6.2f|%5.2f|%5d|%3d|%7d|%7d|%7d|%7d|%7d|%14s|%5d|%5s|%9.4f|%9.4f
---|deg|deg|deg|deg|mag|kpc||deg||km/s|km/s|km/s|km/s|km/s||||h|deg
"The Catalogue of Principal Galaxies (PGC) Number"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Absolute magnitude at distance in km/s / 100"|"Intrinsic diameter in kpc at distance in km/s / 100"|"Ratio minor to major axis diameters"|"Position angle on sky N through E"|"Morphological type; see RC3"|"Velocity in Galactic standard of rest; see RC3"|"Distance in km/s; flow model within 3000 km/s"|"SGX component of distance"|"SGY component of distance"|"SGZ component of distance"|"Common name"|"Internal group identifier"|"Internal filament identifier"|"Right Ascension (B1950)"|"Declination (B1950)"
2145831|62.4986|43.4549|72.6516|50.5529|-18.04|11.82|0.79|51||9562|9272|1757|5623|7160|||580.0|16.4683|39.3356
2146238|182.0626|33.5952|46.0587|-31.4234|-18.59|12.89|0.65|76||8414|8414|4983|5170|-4387|||420.0|8.3086|39.4072
2147249|62.6001|43.3839|72.5000|50.5874|-17.62|10.28|0.48|111||9408|9257|1767|5605|7151|||580.0|16.4746|39.4061
2147556|62.6257|43.3393|72.4443|50.6204|-18.02|11.97|0.63|102||8601|9176|1756|5550|7092|||580.0|16.4786|39.4228
2147644|62.6185|43.6180|72.6318|50.3684|-16.81|6.86|0.98|115||10306|9347|1780|5690|7199|||580.0|16.4545|39.4292
2147739|177.6711|18.8895|28.3376|-34.9326|-18.30|16.25|0.28|118||6845|6845|4939|2664|-3919|||330.0|6.9929|39.4003
2148051|62.6395|43.8357|72.7495|50.1636|-17.77|10.04|0.63|40||9409|9257|1759|5664|7108|||580.0|16.4358|39.4525
2149047|62.7120|43.8736|72.6993|50.1077|-18.03|11.15|0.65|3||10614|9377|1789|5742|7195|||580.0|16.4327|39.5061
2149068|182.9272|40.6333|53.0680|-27.8289|-18.48|16.21|0.42|96||8405|8405|4466|5941|-3924|||420.0|8.9196|39.5914
2149709|62.7597|43.9930|72.7268|49.9846|-17.95|10.66|0.72|72||8565|9172|1751|5632|7025|||580.0|16.4224|39.5444
2150119|160.7650|-7.6967|354.3614|-23.9439|-20.66|38.83|0.72|65||6272|6272|5705|-564|-2546|||330.0|4.2629|39.3375
2150566|62.8325|43.8942|72.5892|50.0531|-17.89|10.78|0.78|27||9609|9277|1782|5683|7112|||580.0|16.4311|39.5936
2151964|62.9638|43.3414|72.0936|50.5161|-17.72|11.68|0.65|143||8499|9166|1792|5546|7074|||580.0|16.4792|39.6686
2152244|119.4158|-23.1792|334.2184|13.7876|-17.42|6.80|0.93|118||5983|5983|5232|-2528|1426|||860.0|0.5327|39.3025
2152937|63.0149|44.0631|72.5122|49.8450|-18.53|14.89|0.66|135||9649|9281|1799|5709|7094|||580.0|16.4169|39.7300
2152968|63.0355|43.5551|72.1604|50.3003|-17.77|11.42|0.58|108||8550|9171|1795|5576|7056|||580.0|16.4609|39.7286
2153092|63.0432|43.6018|72.1832|50.2556|-17.60|7.35|0.89|165||8254|9140|1788|5564|7028|||580.0|16.4569|39.7358
2153128|63.0509|43.5148|72.1180|50.3322|-16.52|6.75|0.79|100||8831|9199|1803|5588|7081|||580.0|16.4644|39.7383
2153156|63.9026|35.6135|64.8612|57.0052|-16.62|6.11|0.76|89||7777|7777|1799|3834|6522|||587|17.1519|39.6922
2153421|63.0698|43.6329|72.1764|50.2193|-17.56|10.45|0.51|161||8830|9200|1802|5604|7070|||580.0|16.4543|39.7561
2153788|63.1009|43.6156|72.1330|50.2255|-19.31|19.78||||8635|9180|1802|5590|7055|||580|16.4559|39.7781
2154233|63.1385|43.7006|72.1504|50.1370|-18.70|16.70|0.66|128||9571|9273|1822|5658|7118|||580.0|16.4485|39.8081
2154571|63.1613|43.9172|72.2690|49.9335|-17.45|10.56|0.60|106||9804|9296|1822|5699|7114|||580.0|16.4298|39.8311
2154685|63.1937|43.3238|71.8438|50.4613|-16.51|5.54|0.87|176||8478|8478|1682|5129|6538|||589.0|16.4813|39.8350
2154798|63.1960|43.5111|71.9663|50.2911|-17.36|8.69|0.66|11||8851|9201|1820|5590|7078|||580.0|16.4651|39.8433
2154814|63.1856|43.8399|72.1938|49.9963|-18.17|13.17|0.79|4||8925|9208|1810|5636|7053|||580.0|16.4365|39.8464
2155111|63.2184|43.6573|72.0401|50.1518|-18.12|12.13|0.72|150||9864|9302|1838|5670|7141|||580.0|16.4524|39.8644
2155189|182.3607|39.7321|51.9611|-28.0368|-17.52|7.33|0.91|55||7075|7075|3848|4918|-3326|||535.0|8.8387|39.9500
2155506|63.2540|43.5743|71.9487|50.2160|-17.44|7.49|0.93|12||7795|9096|1804|5534|6990|||580.0|16.4597|39.8875
2155907|63.2847|43.6342|71.9570|50.1524|-18.31|14.27|0.66|95||9945|9310|1848|5672|7147|||580.0|16.4546|39.9117
2156065|63.2989|43.6092|71.9259|50.1706|-17.76|10.08|0.78|174||9781|9294|1847|5659|7137|||580.0|16.4568|39.9211
2156614|63.3505|43.5257|71.8174|50.2301|-17.39|10.01|0.48|28||9016|9016|1800|5480|6930|||580.0|16.4641|39.9558
2156824|63.3355|45.1806|72.9051|48.7336|-18.36|15.81|0.39|41||8780|8780|1702|5535|6599|||589.0|16.3202|39.9786
2157436|63.4193|43.5311|71.7506|50.2039|-15.73|5.63|0.78|84||7859|7859|1575|4777|6038|||589|16.4638|40.0058
2159305|63.5840|43.4962|71.5587|50.1839|-17.54|9.77|0.50|17||8404|8404|1703|5105|6455|||589.0|16.4672|40.1242
2163882|145.8167|-17.3288|343.4494|-9.9133|-17.85|9.38|0.50|47||5100|5100|4816|-1432|-878||-1|18.0|2.7462|40.1003
2171051|145.5989|-16.8878|343.8825|-9.6775|-17.84|8.93|0.58|34||5270|5270|4991|-1443|-886||-1|815.5|2.7473|40.5878
2173735|148.0678|-15.4011|345.5418|-11.9531|-15.41|5.36|0.48|52||4960|4960|4699|-1212|-1027||-1|18.0|2.9929|40.7753
2174709|145.6496|-16.5901|344.1871|-9.7065|-16.92|5.71|0.68|179||5285|5272|4999|-1416|-889||-1|815.5|2.7629|40.8317
2175062|147.0573|-15.8470|345.0282|-11.0083|-15.59|4.80|0.74|159||5134|5256|4985|-1333|-1003||-1|815.5|2.8989|40.8606
2176414|139.9248|-18.8645|341.4774|-4.4458|-17.44|9.20|0.59|136||7383|7383|6979|-2339|-572|||814.0|2.2420|40.9153
2176711|145.4679|-16.5380|344.2282|-9.5293|-17.36|8.82|0.46|114||5207|5264|4996|-1411|-871||-1|815.5|2.7513|40.9567
2176734|148.1011|-15.1575|345.7923|-11.9708|-18.42|14.25|0.48|106||4980|4980|4723|-1196|-1033||-1|18.0|3.0060|40.9706
2177939|144.9483|-16.7005|344.0298|-9.0435|-15.72|3.52|0.81|105||5246|5246|4980|-1426|-825||-1|815.5|2.7055|41.0325
2178494|145.0865|-16.5960|344.1446|-9.1685|-16.73|6.99|0.51|25||4790|4790|4549|-1292|-763||-1|18.0|2.7201|41.0678
2178928|150.1841|-13.7604|347.3425|-13.9041|-15.14|3.91|0.65|102||5769|5548|5255|-1180|-1333|||810.0|3.2225|41.1186
2179942|146.1157|-15.9914|344.8233|-10.1138|-16.04|8.12|0.50|4||5455|5288|5025|-1363|-929||-1|815.5|2.8223|41.1594
2181114|146.1312|-15.8980|344.9189|-10.1226|-16.14|5.46|0.56|138||5840|5327|5063|-1365|-936||-1|815.5|2.8273|41.2353
2182954|146.2789|-15.6880|345.1413|-10.2506|-17.01|9.27|0.37|120||6222|5365|5103|-1355|-955||-1|815.5|2.8471|41.3550
2183381|145.4218|-16.0915|344.6769|-9.4551|-17.77|10.66|0.35|165||4803|5223|4970|-1363|-858||-1|815.5|2.7656|41.3753
2183765|147.8549|-14.7858|346.1568|-11.7109|-17.82|12.18|0.47|117||4907|4907|4665|-1150|-996||-1|18.0|3.0041|41.4114
2184188|146.8320|-15.3162|345.5538|-10.7584|-15.72|4.31|0.66|166||4611|5204|4951|-1276|-972||-1|815.5|2.9045|41.4306
2184393|146.4576|-15.4993|345.3442|-10.4101|-15.25|3.69|0.83|105||4856|5229|4976|-1302|-945||-1|815.5|2.8685|41.4408
2184410|145.0606|-16.1986|344.5444|-9.1163|-17.12|6.82|0.56|62||6147|6147|5849|-1618|-974||-1|813.0|2.7338|41.4350
2185366|134.4555|-19.8645|339.9394|0.5801|-17.40|8.53|0.58|1||6083|6083|5714|-2087|62||-1|860.0|1.7787|41.4511
2185940|144.6654|-16.2858|344.4294|-8.7440|-15.45|4.46|0.49|36||5090|5090|4846|-1351|-774||-1|18.0|2.7001|41.5242
2189648|145.9672|-15.4075|345.4052|-9.9324|-16.32|4.87|0.81|75||5556|5299|5051|-1316|-914||-1|815.5|2.8351|41.7431
2189943|146.0867|-15.3281|345.4936|-10.0419|-15.22|3.38|0.69|97||4447|5188|4945|-1280|-904||-1|815.5|2.8475|41.7597
2190126|150.6704|-12.6449|348.5189|-14.3125|-19.02|13.61|0.68|123||5907|5562|5282|-1074|-1375|||810.0|3.3119|41.7950
2190371|144.8503|-15.9155|344.8159|-8.8948|-16.74|5.18|0.76|176||5217|5217|4975|-1351|-807||-1|815.5|2.7288|41.7783
2194489|70.0981|22.6816|39.0887|62.6595|-18.07|7.96|0.89|116||7334|7334|2614|2124|6514|||587.0|18.3711|42.1872
2197499|146.9920|-14.3853|346.5098|-10.8519|-17.90|10.37|0.87|108||6126|6126|5851|-1404|-1153||-1|813.0|2.9568|42.1711
2205622|157.7647|69.9342|71.2384|-0.8847|-18.17|10.14|0.76|86||7954|7954|2558|7530|-123|||527.5|11.7816|43.0394
2209257|146.8918|-13.7922|347.1053|-10.7148|-18.11|11.07|0.89|62||5266|5266|5044|-1155|-979||-1|815.5|2.9753|42.7361
2210331|144.3936|-15.0254|345.6812|-8.3904|-17.07|7.27|0.60|112||5533|5533|5303|-1354|-807||-1|813.0|2.7287|42.7714
2210725|144.4631|-14.9712|345.7408|-8.4533|-17.35|8.84|0.51|43||8185|8185|7847|-1995|-1203||-1|813.0|2.7364|42.7903
2210813|144.9052|-14.7512|345.9951|-8.8629|-16.85|5.13|0.78|46||5172|5172|4958|-1237|-797||-1|815.5|2.7800|42.7961
2211350|102.1076|-15.2750|337.6931|31.6374|-16.96|6.77|0.68|32||5313|5313|4185|-1717|2787|||860.0|22.9540|42.7578
2212036|145.8058|-14.2313|346.5850|-9.6946|-17.39|8.76|0.65|176||6385|6385|6122|-1461|-1075||-1|813.0|2.8721|42.8561
2221032|70.0674|52.9247|72.3650|39.8383|-16.74|5.30|0.83|18||5875|5875|1367|4299|3764|||512.0|15.5924|43.6128
2254858|108.3871|-15.6924|339.1837|25.7140|-18.11|9.16|0.63|113||4982|4982|4196|-1596|2162||-1|860.0|23.4861|44.6364
2269254|150.6605|-8.0885|353.2060|-13.9873|-19.38|10.32|0.28|100||6891|6891|6639|-792|-1666|||813.0|3.5509|45.5431
2273089|87.6221|65.1670|72.6151|24.7389|-17.50|6.41|0.78|55||7973|7973|2164|6910|3336|||582.0|14.1876|46.1917
2283947|169.4926|54.5028|59.7480|-12.5481|-15.96|8.44|0.49|99||9138|9138|4494|7705|-1985|||528.5|10.2826|46.8511
2292403|142.8390|-11.1735|349.4256|-6.5612|-18.84|10.82|0.91|120||8056|8056|7867|-1470|-921||-1|813.0|2.7606|46.8961
2302994|165.4931|56.9417|60.8147|-9.3987|-16.26|3.99|0.83|176||4033|4033|1940|3474|-659||||10.5905|47.9706
2316221|161.2429|6.8253|10.1381|-22.7255|-19.66|11.52|0.63|146||6365|6365|5780|1033|-2459||-1|330.0|5.3231|48.3342
2323112|161.1094|7.1706|10.4821|-22.5358|-19.42|9.35|0.68|127||5931|5931|5387|997|-2273||-1|330.0|5.3444|48.6375
2343867|82.5480|55.4463|66.9397|33.4657|-17.69|11.20|0.78|28||8201|8201|2680|6295|4522|||582.0|15.1262|49.6581
2345843|92.4533|62.2330|68.6334|25.1096|-18.23|15.19|0.36|15||8059|8059|2659|6796|3420|||582.0|14.2503|49.7664
2347402|108.5697|-10.8051|344.5180|26.7247|-19.19|12.92|0.81|85||8846|8846|7614|-2110|3978||-1|868.0|23.3464|49.3136
2349177|80.0152|18.3169|23.6595|56.0065|-19.26|21.40|0.49|61||9398|9398|4813|2109|7791||-1|470.0|19.0558|49.5692
2349354|89.6109|60.6282|68.2437|27.1830|-15.28|2.82|0.69|89||3850|3850|1269|3181|1759|||72.5|14.4673|49.8736
2355862|167.2977|23.2445|29.0725|-24.3418|-17.12|7.15|0.51|119||5469|5876|4679|2601|-2422|||341.0|7.1003|49.9489
2364022|83.2423|54.7548|66.0208|33.6887|-17.75|10.80|0.56|7||10182|10182|3443|7741|5648|||582.0|15.1712|50.3272
2367454|166.9895|23.6758|29.4184|-23.9340|-17.13|5.46|0.98|2||5820|5911|4706|2654|-2398|||341.0|7.1359|50.3350
2367975|165.4321|19.0480|24.1118|-23.9564|-17.37|7.81|0.72|45||5941|5941|4956|2218|-2412||-1|330.0|6.6293|50.3169
2371352|127.1670|-12.2771|346.5269|8.5472|-19.37|13.82|0.56|158||6574|6574|6322|-1515|977||-1|862.0|1.2405|50.1175
2371661|163.2626|14.3745|18.6024|-23.1485|-18.27|7.85|0.72|142||7401|7401|6450|2171|-2909|||800.0|6.0946|50.4008
2373364|166.6863|23.3999|29.0345|-23.7603|-18.18|9.47|0.87|93||5730|5902|4723|2622|-2378|||341.0|7.1004|50.5314
2373801|166.7677|23.7399|29.4123|-23.7211|-17.78|7.54|0.87|156||5861|5915|4718|2660|-2380|||341.0|7.1369|50.5478
2375644|166.6673|23.6507|29.2877|-23.6630|-17.71|8.51|0.69|175||6250|5954|4756|2668|-2390|||341.0|7.1254|50.6136
2379093|166.5757|23.8448|29.4585|-23.5209|-17.77|11.54|0.35|103||6524|5981|4775|2697|-2387|||341.0|7.1428|50.7444
2382281|128.3093|-11.7251|347.2408|7.5209|-19.94|20.08|0.46|98||7393|7393|7149|-1620|968||-1|862.0|1.3630|50.5375
2389424|148.7602|61.9736|62.5722|0.2830|-18.70|11.73|0.69|92||8017|8017|3693|7116|40|||527.8|11.5418|51.4386
2390249|84.0093|53.2939|64.3867|34.3986|-16.46|7.23|0.41|175||4611|4611|1645|3431|2605|||72.5|15.2874|51.3889
2391330|158.8470|8.4746|11.4450|-20.1028|-20.01|13.91|0.87|117||8076|8076|7433|1505|-2776||-1|800.0|5.3268|51.2250
2392503|124.7655|-11.4887|346.9594|10.9891|-20.01|16.97|0.62|36||7854|7854|7511|-1741|1497||-1|862.0|1.0003|51.0736
2393152|165.9182|45.5908|50.5432|-14.6997|-18.47|12.94|0.65|77||10154|10154|6242|7584|-2577|||528.5|9.4764|51.6028
2393259|161.7983|13.7328|17.5771|-21.9105|-19.53|18.44|0.47|54||8095|8095|7159|2268|-3021||-1|800.0|5.9672|51.3883
2394940|140.0566|64.0209|63.9652|4.5052|-17.77|8.88|0.93|109||8769|8769|3837|7854|689||||12.0178|51.7664
2398325|86.7421|9.6653|7.5589|50.8885|-19.02|12.61|0.46|156||7448|7448|4658|618|5779||-1|470.0|20.1763|51.5364
2399396|84.0635|52.1371|63.3411|35.1744|-15.56|3.93|0.71|49||3798|3798|1393|2774|2188|||72.5|15.3977|51.9228
2405283|128.9247|-10.3876|348.6605|7.1075|-19.43|9.47|0.69|59||6003|6003|5840|-1172|743||-1|862.0|1.4463|51.7783
2415962|104.4958|62.6291|65.7002|20.2300|-18.87|15.29|0.56|148||9102|9102|3515|7784|3147|||582.5|13.7461|52.7261
2427916|86.7711|12.0906|11.3877|50.7186|-17.70|6.83|0.49|10||3077|3077|1910|385|2382||-1|460.0|19.9521|52.8136
2433109|89.7745|55.1059|63.3508|30.6728|-18.61|14.70|0.68|121||8952|8952|3454|6882|4567|||582.0|14.9285|53.3519
2438104|85.3550|50.1313|60.8454|35.9204|-18.17|15.40|0.42|18||8955|8955|3533|6333|5254|||582.0|15.5608|53.4986
2453103|85.0281|17.7047|20.6412|51.5423|-17.49|6.98|0.49|32||4664|4664|2715|1023|3652|||460.0|19.3067|53.7728
2453368|88.8008|10.5512|8.8135|48.8297|-19.93|11.89|0.78|177||7543|7543|4907|761|5678||-1|470.0|20.2137|53.7219
2461025|83.6579|44.6906|56.5100|40.3136|-15.95|5.29|0.68|15||4873|4873|2050|3099|3152|||513.0|16.1841|54.2694
2469396|83.3568|24.5386|31.8258|51.0154|-18.10|13.15|0.63|123||8988|8988|4805|2982|6987|||470.0|18.5123|54.3925
2469941|82.4498|29.3891|39.2589|49.7049|-17.07|8.60|0.76|36||6749|6749|3380|2762|5147|||586.0|17.9485|54.4508
2512918|161.3995|26.1929|30.3016|-18.3356|-18.06|16.66|0.49|177||9692|9692|7943|4642|-3049||||7.2821|55.8389
2541315|88.1657|17.5762|19.5103|48.6387|-19.24|18.53|0.47|167||7647|7647|4763|1688|5740||-1|470.0|19.4560|56.4781
2560446|89.8561|47.3160|55.8720|35.2983|-15.10|3.92|0.55|168||4449|4449|2037|3006|2571|||513.0|15.7128|57.3800
2567356|90.5073|47.5066|55.7601|34.8270|-15.20|3.12|0.76|59||3789|3789|1750|2571|2164|||72.5|15.6673|57.6906
2573769|159.3755|34.3788|37.8805|-14.1941|-17.75|8.60|0.87|151||7799|7744|5926|4610|-1899|||411.0|8.2682|58.1917
2590643|113.0720|56.8546|58.3179|18.4083|-16.29|7.04|0.85|140||8171|8171|4072|6597|2580|||582.5|13.5348|59.7092
2592082|88.2617|31.8979|39.2783|44.1118|-18.07|15.15|0.28|133||8608|8608|4784|3913|5991|||585.0|17.6822|59.6069
2604022|152.7516|16.8053|18.8611|-12.7412|-19.18|18.49|0.45|135||7106|7106|6559|2241|-1567|||800.0|5.8279|60.5661
2611489|147.6118|48.9013|49.6661|-1.9034|-18.35|13.91|0.42|149||8872|8872|5739|6759|-295|||527.8|10.4971|61.3289
2662644|148.0460|15.4683|16.7330|-8.5168|-18.09|8.54|0.50|132||4633|4633|4388|1319|-686|||493.0|5.3484|63.8881
2666216|93.7419|31.1699|35.9678|40.0724|-18.43|11.50|0.72|41||10848|10848|6719|4876|6983|||585.7|17.7833|64.2800
2676489|94.9617|30.2404|34.3794|39.3855|-19.20|18.95|0.63|104||11540|11540|7361|5036|7322|||585.7|17.9281|65.3333
2679492|95.3466|30.2344|34.2384|39.0714|-18.77|13.54|0.69|178||11384|11384|7307|4973|7175|||585.7|17.9293|65.6658
2682222|95.6832|30.2602|34.1552|38.7867|-18.30|15.27|0.62|75||11444|11444|7382|5008|7169|||585.7|17.9252|65.9567
2694643|96.9739|30.0417|33.4679|37.7856|-16.46|7.53|0.85|110||10994|10994|7248|4791|6736|||585.7|17.9615|67.0731
2697953|144.8022|16.8237|17.6114|-5.2328|-17.77|6.61|0.47|107||4530|4530|4300|1365|-413||-1|493.0|5.2730|67.2536
2703230|97.6940|31.3211|34.7800|36.8207|-19.63|22.03|0.69|179||11685|11685|7683|5336|7003|||585.7|17.7365|67.6500
2708162|144.6673|17.8158|18.5786|-4.9629|-19.33|11.18|0.49|39||5630|5630|5317|1787|-487||-1|493.0|5.4109|67.8683
2711719|98.3167|32.0180|35.4136|36.1087|-17.30|7.39|0.74|167||7531|8001|5268|3746|4715|||585.0|17.6058|68.1211
2733121|106.0724|41.6866|44.0965|27.3096|-18.87|19.20|0.58|76||12529|12529|7995|7747|5748|||585.8|15.4651|70.1100
2736111|114.0093|45.3537|46.3584|20.8099|-17.41|10.15|0.98|2||9145|9145|5900|6186|3249|||584.0|14.1086|70.6722
2738550|122.4422|46.3238|46.3414|14.8584|-18.75|17.80|0.44|180||8812|8812|5880|6162|2260|||584.0|12.8958|71.0711
2743419|138.7843|15.8537|15.9108|0.3709|-18.39|8.41|0.71|177||7577|7577|7287|2077|49||-1|488.0|4.4809|71.3625
2747382|118.6302|44.7162|45.0536|17.7197|-18.79|17.71|0.62|83||10788|10788|7259|7273|3283|||584.0|13.5018|72.3342
2748595|130.4226|43.7961|43.4300|9.3790|-17.97|9.37|0.76|118||6704|6704|4804|4547|1093|||585.0|11.6091|72.5469
2751185|118.9773|44.1073|44.3828|17.5658|-18.68|19.71|0.35|65||9106|9106|6205|6072|2748|||584.0|13.4774|72.9825
2752505|115.4123|43.0686|43.7520|20.2841|-18.35|14.56|0.46|50||9284|9284|6290|6022|3219|||584.0|14.1140|73.1686
2753764|135.3562|40.5075|40.2235|5.6274|-19.03|17.68|0.65|85||7113|7113|5405|4571|697|||585.0|10.5027|73.3975
2762744|108.1745|19.5673|18.9413|29.5837|-19.47|10.90|0.59|104||7619|7619|6267|2151|3762||||20.6041|74.3275
2763301|109.0525|18.5076|17.6729|28.8183|-18.76|6.18|0.40|80||4030|4030|3365|1072|1943|||480.0|20.9366|74.3992
2766601|130.6300|40.5411|40.1319|9.2185|-18.38|17.19|0.23|51||6761|6761|5102|4301|1083|||585.0|11.2402|75.4297
2771608|108.2230|30.8270|31.7052|28.1713|-18.03|9.30|0.63|145||7641|7641|5731|3540|3608|||585.0|17.5902|76.6547
2779422|123.0742|37.7909|37.4987|15.1535|-19.19|13.69|0.62|150||10255|10255|7853|6026|2681|||584.0|12.7950|79.6089
2788224|119.4999|32.7093|32.4229|18.4281|-16.24|3.92|0.68|123||3876|3876|3104|1972|1225|||480.0|14.7399|83.8883
2790867|73.7510|52.1790|69.3941|39.2685|-16.95|6.09|0.00|||6581|6581|1793|4769|4165|||512.5|15.6123|45.9636
2791819|283.6934|-9.9735|187.7829|-34.1853|-18.95|10.99|0.29||5|5965|5965|-4889|-668|-3351|||117.0|9.4886|-64.8136
2792195|287.5175|-9.0862|186.8482|-30.3925|-17.29|4.96|1.00|||1864|1827|-1564|-188|-924|RKK1920|-1|53.0|10.0487|-66.5686
2793186|319.3643|9.5386|170.7265|3.0009|-17.46|5.02|0.83||-2|4295|4295|-4233|691|225|WKK4079|-1|102.0|14.5165|-49.8014
2793187|319.1670|8.8596|171.3825|2.7369|-18.29|6.09|0.89||-2|4635|4635|-4577|694|221|WKK4086|-1|102.0|14.5253|-50.5028
2793191|320.8124|5.6813|174.7188|4.0303|-18.60|4.57|0.60||-5|4747|4747|-4715|436|334|WKK4396|-1|102.0|14.8272|-52.7069
2793193|324.1138|7.7099|173.0172|7.4944|-18.34|5.42|0.79||-5|5621|5621|-5532|678|733|WKK4603|-1|215.0|15.0331|-49.3750
2793194|321.9316|3.5051|177.0067|4.9122|-19.77|3.02|0.56||4|2720|2720|-2706|142|233|WKK4613|-1|23.5|15.0518|-54.1042
2793197|325.8291|7.9722|172.9114|9.2106|-18.31|5.17|0.55||5|2105|2084|-2041|254|334|WKK4732|-1|41.6|15.1683|-48.2911
2793206|318.1205|-9.0082|189.0357|-0.2508|-16.70|3.42|0.56||-5|3081|3081|-3042|-484|-13|WKK5104|-1|55.0|15.5284|-66.7169
2793208|320.6092|-6.4113|186.7351|2.4942|-20.43|34.71|0.76||0|4520|4520|-4484|-529|197|WKK5174|-1|115.0|15.6004|-63.1650
2793209|328.0952|3.6476|177.5013|11.0459|-19.83|3.79|0.87||-5|5189|5189|-5088|222|994|WKK5182|-1||15.6073|-50.6333
2793210|321.3159|-5.5499|185.9601|3.2923|-19.97|12.21|0.40||0|5036|5036|-5001|-522|289|WKK5184|-1|109.0|15.6080|-62.0544
2793212|321.4572|-6.4696|186.8915|3.3242|-19.30|14.29|0.29||0|6895|6895|-6833|-826|400|WKK5270|-1|109.0|15.7040|-62.7025
2793213|322.3623|-5.4049|185.9382|4.3437|-19.29|7.72|0.56||0|5875|5875|-5827|-606|445|WKK5275|-1|109.0|15.7123|-61.3094
2793214|322.3224|-5.7023|186.2296|4.2692|-19.70|6.75|0.72||2|6424|6424|-6369|-695|478|WKK5308|-1|109.0|15.7334|-61.5683
2793215|330.7836|4.9247|176.4642|13.8374|-20.83|42.17|0.60||0|7122|7122|-6902|427|1703|WKK5326|-1||15.7463|-47.9925
2793216|324.3626|-3.3436|184.1185|6.5676|-19.73|4.15|0.76||-2|5072|5072|-5026|-362|580|WKK5339|-1|109.0|15.7525|-58.4572
2793217|323.2357|-5.2187|185.8563|5.2293|-19.51|9.14|0.40|73|3|5048|5048|-5001|-513|460|WKK5392|-1|109.0|15.7902|-60.6244
2793218|322.3377|-6.3759|186.9021|4.2042|-19.93|14.47|0.20|7|1|6883|6883|-6815|-825|505|WKK5398|-1|109.0|15.7943|-62.0861
2793220|323.4052|-5.1770|185.8349|5.4019|-20.47|35.32|0.26|114|4|5926|5926|-5869|-599|558|WKK5413|-1|109.0|15.8045|-60.4861
2793221|324.3293|-4.1839|184.9543|6.4350|-20.06|9.29|0.51||0|4896|4896|-4847|-420|549|WKK5429|-1|109.0|15.8166|-59.1347
2793222|323.4252|-5.5827|186.2419|5.3730|-20.07|9.19|0.69||3|5078|4858|-4808|-525|454|WKK5470|-1|110.0|15.8414|-60.7881
2793223|322.4949|-6.7296|187.2730|4.3169|-19.42|12.59|0.44||1|6634|6634|-6562|-837|499|WKK5474|-1|109.0|15.8436|-62.2614
2793224|323.2184|-6.1643|186.7968|5.0987|-18.76|6.59|0.40||-1|3418|3418|-3381|-403|304|WKK5515|-1|101.0|15.8707|-61.3672
2793225|322.5358|-7.1098|187.6564|4.3115|-19.53|8.62|0.39||5|7769|7769|-7678|-1032|584|WKK5541|-1|109.0|15.8831|-62.5275
2793226|324.9651|-4.2870|185.1339|7.0522|-20.50|35.85|0.24||2|4697|4697|-4643|-417|577|WKK5552|-1|100.0|15.8884|-58.8114
2793227|324.9349|-4.3439|185.1872|7.0154|-19.20|4.76|0.68||5|4532|4532|-4480|-406|553|WKK5556|-1|100.0|15.8902|-58.8744
2793229|322.8542|-7.2423|187.8267|4.6090|-19.58|10.34|0.26||0|6004|6004|-5929|-815|482|WKK5639|-1|109.0|15.9302|-62.4239
2793230|322.9494|-7.1516|187.7479|4.7137|-19.10|7.12|0.46||0|6098|6098|-6021|-819|501|WKK5644|-1|109.0|15.9320|-62.2936
2793231|323.6901|-6.3096|186.9987|5.5464|-20.41|34.27|0.42||0|7677|7677|-7584|-931|742|WKK5648|-1|109.0|15.9334|-61.1756
2793233|325.4945|-4.4203|185.3317|7.5599|-20.62|38.16|0.66|83|3|3894|3894|-3843|-358|512|WKK5679|-1|101.0|15.9512|-58.5719
2793234|324.0261|-6.2498|186.9802|5.8853|-17.48|2.82|0.93||-5|3571|3571|-3526|-431|366|WKK5703|-1|101.0|15.9629|-60.9122
2793235|324.5431|-5.7391|186.5338|6.4582|-18.76|6.68|0.46||4|5199|4870|-4807|-551|548|WKK5718|-1|110.0|15.9701|-60.1894
2793236|324.4007|-5.9184|186.6954|6.2956|-19.18|7.80|0.33|41|5|4453|4795|-4734|-556|525|WKK5723|-1|110.0|15.9716|-60.4178
2793237|323.5904|-6.8589|187.5343|5.3810|-17.59|3.51|0.65|41|-3|4294|4779|-4717|-623|449|WKK5727|-1|110.0|15.9730|-61.6558
2793238|324.0177|-6.3987|187.1277|5.8587|-20.01|15.82|0.17|11|4|6086|6086|-6007|-751|621|WKK5733|-1|109.0|15.9754|-61.0300
